ego	alter	pair	ell	t0ix	tfix	nix	stE	E
0x3b	-0x5c0c9a66025d6213	-0x1007bd3eda7eb5f6	31	559	590	7	0	1
0x50	0x597614ed42fbdb9b	-0x1013fc473213142b	0	105	118	2	0	0
0x5d	0x7a8e45c9d0531a90	-0x10192aceafd3ad72	0	588	601	1	0	0
0xdf	-0x9736819ae528246	-0x1021954e8287613f	1	227	467	2	0	0
0x100	-0xbb011014b780e21	-0x102474767f4c93c7	0	280	589	2	1	1
0x62	0x3c4ea94f92cd2aab	-0x1024c39766814616	89	145	239	4	0	1
0x56	-0x34ebfd93f061b2b4	-0x102ee8de28eb4e5a	0	326	327	1	0	0
0xc2	0x45e3c2ec430933a9	-0x103135c1d1475a6b	0	430	622	1	0	0
0x103	0x6e6f85a997e5c3aa	-0x1049a72a104f021a	0	210	565	1	0	0
0x43	-0x1887f249a5c14316	-0x104aedb729be5fc7	0	160	160	1	0	0
0x2f	0x2dfef2aaa08414ee	-0x10518c54d21d76a3	239	253	492	6	1	1
0x35	-0x438c57ee4b04ff6e	-0x10572b72300cffa0	0	228	228	1	0	0
0x1f	-0x5f65fd7b94b4ec80	-0x105b732947de92dd	0	269	269	1	0	0
0xdf	0x19035bde6d2d8b1d	-0x105f105d396c407a	0	187	426	1	0	0
0x5d	0x872d1d6268e0473	-0x10639a56ec5d3ef1	0	470	483	2	0	0
0xce	-0x4ba23d3a4768f080	-0x1065f7a9c49836fc	0	292	493	1	0	0
0x27	-0x48c77bb4f77a4d7e	-0x1069d6f3558e0483	0	105	126	1	0	0
0x18	0x1f78f2bd06674b00	-0x106baa177d4798c2	0	457	458	1	0	0
0x25	-0x34e2c29c23d1dd67	-0x106bcc47c2d0436	0	626	629	1	0	0
0x5c	-0x67afe2eb59d4545e	-0x106be6f42f9b0414	2	74	76	2	0	0
0xee	-0x691cacf26402727a	-0x10708ad41c293729	94	201	581	4	0	0
0xef	-0x5145fd911cd806dc	-0x107537d4e8c2cbc8	190	59	487	3	0	0
0x60	0x216d241a8e519498	-0x10755751e7fbd4d	1	251	252	3	0	0
0x4b	-0x45f0e1108d336631	-0x1077998518d55381	0	538	546	1	0	0
0xf9	-0x60b9a310b11bf74c	-0x107b3b53f3845b85	0	176	467	1	0	0
0x5d	-0x75afb0ebbfd51b45	-0x107b8751d22acdda	0	443	456	1	1	1
